index,nodeid,testname,iodepth,device,count,mean_mean,mean_min,stdev_mean,stdev_max,disk_type,disk_name,disk_model,units
4618,c220g2-011318,randwrite,4096,/dev/sdb,78,2616.4474359,2576.69,127.550767301,157.76,HDD,/dev/sdb,HUC101212CSS600,KB/s
4609,c220g2-011318,randread,1,/dev/sdb,78,935.552717949,931.256,39.0847484084,52.0782,HDD,/dev/sdb,HUC101212CSS600,KB/s
4610,c220g2-011318,randread,1,/dev/sdc,78,30326.1974359,20684.1,563.510389512,2613.63,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4611,c220g2-011318,randread,4096,/dev/sda4,78,2802.92858974,2742.45,147.629490429,178.723,HDD,/dev/sda,HUC101212CSS600,KB/s
4608,c220g2-011318,randread,1,/dev/sda4,78,934.703448718,930.925,37.5938276602,49.1338,HDD,/dev/sda,HUC101212CSS600,KB/s
4613,c220g2-011318,randread,4096,/dev/sdc,78,305514.666667,304222.0,4372.04239699,4530.41,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4614,c220g2-011318,randwrite,1,/dev/sda4,78,2417.02987179,2243.55,127.902859362,263.83,HDD,/dev/sda,HUC101212CSS600,KB/s
4616,c220g2-011318,randwrite,1,/dev/sdc,78,78864.2512821,35899.3,1424.81263222,2983.5,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4617,c220g2-011318,randwrite,4096,/dev/sda4,78,2639.34384615,2597.79,156.052985874,233.58,HDD,/dev/sda,HUC101212CSS600,KB/s
4770,c220g2-011324,write,1,/dev/sda4,77,85868.9038961,73690.4,6372.62775789,9603.9,HDD,/dev/sda,HUC101212CSS600,KB/s
4765,c220g2-011324,read,1,/dev/sdb,77,108487.6,96637.0,2965.9757239,5475.67,HDD,/dev/sdb,HUC101212CSS600,KB/s
4764,c220g2-011324,read,1,/dev/sda4,77,107145.396104,93188.4,6343.81943651,17314.2,HDD,/dev/sda,HUC101212CSS600,KB/s
4763,c220g2-011324,randwrite,4096,/dev/sdc,77,233465.662338,231469.0,4444.8538846,5532.09,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4762,c220g2-011324,randwrite,4096,/dev/sdb,77,2647.63688312,2631.08,130.420650665,166.382,HDD,/dev/sdb,HUC101212CSS600,KB/s
4761,c220g2-011324,randwrite,4096,/dev/sda4,77,2641.98116883,2603.64,149.236643701,172.781,HDD,/dev/sda,HUC101212CSS600,KB/s
4760,c220g2-011324,randwrite,1,/dev/sdc,77,80661.1220779,76244.2,1383.18553755,2812.44,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4759,c220g2-011324,randwrite,1,/dev/sdb,77,2441.68324675,2270.38,106.271574837,248.113,HDD,/dev/sdb,HUC101212CSS600,KB/s
4766,c220g2-011324,read,1,/dev/sdc,77,87860.3792208,79815.4,1829.76556023,4330.36,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4767,c220g2-011324,read,4096,/dev/sda4,77,167781.753247,140980.0,27198.7585955,56234.4,HDD,/dev/sda,HUC101212CSS600,KB/s
4758,c220g2-011324,randwrite,1,/dev/sda4,77,2437.69,2219.89,119.055567148,307.462,HDD,/dev/sda,HUC101212CSS600,KB/s
4769,c220g2-011324,read,4096,/dev/sdc,77,494828.909091,477974.0,3335.95063801,10647.4,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4756,c220g2-011324,randread,4096,/dev/sdb,77,3001.33064935,2954.32,144.908246243,177.641,HDD,/dev/sdb,HUC101212CSS600,KB/s
4771,c220g2-011324,write,1,/dev/sdb,77,90301.1,78582.8,2035.68697613,3405.35,HDD,/dev/sdb,HUC101212CSS600,KB/s
4772,c220g2-011324,write,1,/dev/sdc,77,78771.6571429,55139.3,1089.02542968,2150.62,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4773,c220g2-011324,write,4096,/dev/sda4,77,170414.727273,166744.0,27431.4286001,31426.9,HDD,/dev/sda,HUC101212CSS600,KB/s
4774,c220g2-011324,write,4096,/dev/sdb,77,181790.155844,179565.0,7698.97829581,10487.1,HDD,/dev/sdb,HUC101212CSS600,KB/s
4775,c220g2-011324,write,4096,/dev/sdc,77,447452.792208,433866.0,23613.9195282,27321.2,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
8903,ms0330,write,4096,/dev/sda2,77,119667.818182,117204.0,2312.02082292,12250.8,SSD,/dev/sda,XR0120GEBLT,KB/s
8902,ms0330,write,1,/dev/sda2,77,2003.74831169,1966.21,12.1300281025,48.8371,SSD,/dev/sda,XR0120GEBLT,KB/s
8901,ms0330,read,4096,/dev/sda2,77,189657.337662,179225.0,2188.98078349,3701.88,SSD,/dev/sda,XR0120GEBLT,KB/s
8900,ms0330,read,1,/dev/sda2,77,74911.4818182,70356.8,2735.48093819,16614.0,SSD,/dev/sda,XR0120GEBLT,KB/s
